
Spectre (R) Circuit Simulator
Version 19.1.0.162.isr1 64bit -- 14 Oct 2019
Copyright (C) 1989-2019 Cadence Design Systems, Inc. All rights reserved worldwide. Cadence and Spectre are registered trademarks of Cadence Design Systems, Inc. All others are the property of their respective holders.

Includes RSA BSAFE(R) Cryptographic or Security Protocol Software from RSA Security, Inc.

User: me59   Host: dice   HostID: B4A34EA0   PID: 111995
Memory  available: 112.1273 GB  physical: 269.9321 GB
Linux   : CentOS Linux release 7.9.2009 (Core)
CPU Type: Intel(R) Xeon(R) Gold 6242R CPU @ 3.10GHz
        Socket: Processors [Frequency] (Hyperthreaded Processor)
        0:       0 [1699.1] ( 40 ),  1 [3799.9] ( 41 ),  2 [1890.4] ( 42 )
                 3 [1799.9] ( 43 ),  4 [2100.0] ( 44 ),  5 [1699.9] ( 45 )
                 6 [1399.2] ( 46 ),  7 [1392.6] ( 47 ),  8 [1478.1] ( 48 )
                 9 [1286.4] ( 49 ), 10 [1270.2] ( 50 ), 11 [1301.6] ( 51 )
                12 [1499.1] ( 52 ), 13 [3799.9] ( 53 ), 14 [1497.0] ( 54 )
                15 [1200.0] ( 55 ), 16 [1317.3] ( 56 ), 17 [1200.2] ( 57 )
                18 [1200.0] ( 58 ), 19 [1213.2] ( 59 )
        1:      20 [1200.2] ( 60 ), 21 [2385.7] ( 61 ), 22 [1685.9] ( 62 )
                23 [3799.9] ( 63 ), 24 [1353.8] ( 64 ), 25 [1600.0] ( 65 )
                26 [1600.0] ( 66 ), 27 [1298.4] ( 67 ), 28 [1280.8] ( 68 )
                29 [1310.3] ( 69 ), 30 [2077.9] ( 70 ), 31 [1219.6] ( 71 )
                32 [1200.0] ( 72 ), 33 [1200.0] ( 73 ), 34 [1200.2] ( 74 )
                35 [1200.0] ( 75 ), 36 [1200.2] ( 76 ), 37 [1200.0] ( 77 )
                38 [1199.8] ( 78 ), 39 [1200.0] ( 79 )
        
System load averages (1min, 5min, 15min) : 4.7 %, 4.8 %, 4.5 %
Hyperthreading is enabled


Simulating `/home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/run/tb_tran.scs' on dice at 3:21:37 PM, Mon Jun 8, 2026 (process id: 111995).
Current working directory: /home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/run
Command line:
    /home/eda/cadence/spectre191/tools.lnx86/bin/spectre -64  \
        /home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/run/tb_tran.scs  \
        +escchars +log  \
        /home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/run/spectre_tran.log  \
        -format psfxl -raw  \
        /home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/run/tran_psf  \
        +lqtimeout 60

Loading /home/eda/cadence/spectre191/tools.lnx86/cmi/lib/64bit/5.0/libinfineon_sh.so ...
Loading /home/eda/cadence/spectre191/tools.lnx86/cmi/lib/64bit/5.0/libphilips_o_sh.so ...
Loading /home/eda/cadence/spectre191/tools.lnx86/cmi/lib/64bit/5.0/libphilips_sh.so ...
Loading /home/eda/cadence/spectre191/tools.lnx86/cmi/lib/64bit/5.0/libsparam_sh.so ...
Loading /home/eda/cadence/spectre191/tools.lnx86/cmi/lib/64bit/5.0/libstmodels_sh.so ...
Reading file:  /home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/run/tb_tran.scs
Reading file:  /home/eda/cadence/spectre191/tools.lnx86/spectre/etc/configs/spectre.cfg
Reading file:  /home/me59/amplifier_runner/q5-trial-0146-v2p3-preflight-smoke/dummy_neural_amp_amptest_v2p3_impl.va
Reading file:  /home/eda/edk_cadence/sky130_release_0.1.0/models/sky130.lib.spice
Reading file:  /home/eda/edk_cadence/sky130_release_0.1.0/cells/nfet_01v8/sky130_fd_pr__nfet_01v8__tt.corner.spice
Reading file:  /home/eda/edk_cadence/sky130_release_0.1.0/cells/nfet_01v8/sky130_fd_pr__nfet_01v8__tt.pm3.spice
