name,type,count,width,length,multiplier,segments,seg_length,seg_width,ft_hz,area_p,include_in_ppa
Q1,npn,1,1.00u,2.00u,1,,,,10meg,2.0000,true
Q2,npn,1,1.00u,2.00u,1,,,,10meg,2.0000,true
Q3,npn,1,1.00u,1.00u,1,,,,10meg,1.0000,true
Q4,pnp,1,3.40u,3.40u,1,,,,10meg,11.5600,true
RVREF,resistor,1,,,,1,39409.1u,5.73u,,,true
RC1,resistor,1,,,,1,642.248u,5.73u,,,true
RE1U,resistor,1,,,,1,23.6296u,5.73u,,,true
RE1B,resistor,1,,,,1,806.725u,5.73u,,,true
RC2,resistor,1,,,,1,471.255u,5.73u,,,true
RQ4U,resistor,1,,,,1,675.815u,5.73u,,,true
RQ4R,resistor,1,,,,1,1255.49u,5.73u,,,true
RQ4FB,resistor,1,,,,1,7693.91u,5.73u,,,true
REQ4,resistor,1,,,,1,118.244u,5.73u,,,true
RE2U,resistor,1,,,,1,33.4817u,5.73u,,,true
RE2B,resistor,1,,,,1,639.455u,5.73u,,,true
RBUF,resistor,1,,,,1,2999.61u,5.73u,,,true
CE1,capacitor,1,11.5u,11.7u,26168493,,,,,,true
CE2,capacitor,1,11.5u,11.7u,47734195,,,,,,true
CP1,capacitor,1,11.5u,11.7u,2026,,,,,,true
CP2,capacitor,1,11.5u,11.7u,522,,,,,,true
CP3,capacitor,1,11.5u,11.7u,3539,,,,,,true
Q5,npn,1,1.00u,1.00u,1,,,,10meg,1.0000,true
RQ5U,resistor,1,,,,1,5588.01u,5.73u,,,true
RQ5B,resistor,1,,,,1,1191.29u,5.73u,,,true
REQ5,resistor,1,,,,1,3754.37u,5.73u,,,true
