
freq (Hz)         v("VIN" ?resul    v("VOUT" ?resu

 1.000000e-01      1.000000e-03      4.349507e-05     
 1.047128e-01      1.000000e-03      4.557501e-05     
 1.096478e-01      1.000000e-03      4.775738e-05     
 1.148153e-01      1.000000e-03      5.004763e-05     
 1.202264e-01      1.000000e-03      5.245158e-05     
 1.258925e-01      1.000000e-03      5.497542e-05     
 1.318256e-01      1.000000e-03      5.762574e-05     
 1.380384e-01      1.000000e-03      6.040958e-05     
 1.445439e-01      1.000000e-03      6.333447e-05     
 1.513561e-01      1.000000e-03      6.640845e-05     
 1.584893e-01      1.000000e-03      6.964015e-05     
 1.659586e-01      1.000000e-03      7.303881e-05     
 1.737800e-01      1.000000e-03      7.661435e-05     
 1.819700e-01      1.000000e-03      8.037746e-05     
 1.905460e-01      1.000000e-03      8.433960e-05     
 1.995262e-01      1.000000e-03      8.851317e-05     
 2.089296e-01      1.000000e-03      9.291152e-05     
 2.187761e-01      1.000000e-03      9.754905e-05     
 2.290867e-01      1.000000e-03      1.024413e-04     
 2.398832e-01      1.000000e-03      1.076052e-04     
 2.511886e-01      1.000000e-03      1.130591e-04     
 2.630267e-01      1.000000e-03      1.188225e-04     
 2.754228e-01      1.000000e-03      1.249171e-04     
 2.884031e-01      1.000000e-03      1.313659e-04     
 3.019951e-01      1.000000e-03      1.381942e-04     
 3.162277e-01      1.000000e-03      1.454292e-04     
 3.311311e-01      1.000000e-03      1.531006e-04     
 3.467368e-01      1.000000e-03      1.612404e-04     
 3.630780e-01      1.000000e-03      1.698832e-04     
 3.801893e-01      1.000000e-03      1.790667e-04     
 3.981071e-01      1.000000e-03      1.888312e-04     
 4.168693e-01      1.000000e-03      1.992205e-04     
 4.365158e-01      1.000000e-03      2.102817e-04     
 4.570881e-01      1.000000e-03      2.220654e-04     
 4.786300e-01      1.000000e-03      2.346256e-04     
 5.011872e-01      1.000000e-03      2.480206e-04     
 5.248074e-01      1.000000e-03      2.623119e-04     
 5.495408e-01      1.000000e-03      2.775655e-04     
 5.754399e-01      1.000000e-03      2.938510e-04     
 6.025595e-01      1.000000e-03      3.112419e-04     
 6.309573e-01      1.000000e-03      3.298156e-04     
 6.606934e-01      1.000000e-03      3.496532e-04     
 6.918309e-01      1.000000e-03      3.708392e-04     
 7.244359e-01      1.000000e-03      3.934615e-04     
 7.585775e-01      1.000000e-03      4.176109e-04     
 7.943282e-01      1.000000e-03      4.433807e-04     
 8.317637e-01      1.000000e-03      4.708666e-04     
 8.709635e-01      1.000000e-03      5.001662e-04     
 9.120108e-01      1.000000e-03      5.313784e-04     
 9.549925e-01      1.000000e-03      5.646031e-04     
 1.000000e+00      1.000000e-03      5.999409e-04     
 1.047128e+00      1.000000e-03      6.374924e-04     
 1.096478e+00      1.000000e-03      6.773584e-04     
 1.148153e+00      1.000000e-03      7.196388e-04     
 1.202264e+00      1.000000e-03      7.644335e-04     
 1.258925e+00      1.000000e-03      8.118413e-04     
 1.318256e+00      1.000000e-03      8.619607e-04     
 1.380384e+00      1.000000e-03      9.148895e-04     
 1.445439e+00      1.000000e-03      9.707254e-04     
 1.513561e+00      1.000000e-03      1.029566e-03     
 1.584893e+00      1.000000e-03      1.091510e-03     
 1.659586e+00      1.000000e-03      1.156657e-03     
 1.737800e+00      1.000000e-03      1.225110e-03     
 1.819700e+00      1.000000e-03      1.296970e-03     
 1.905460e+00      1.000000e-03      1.372348e-03     
 1.995262e+00      1.000000e-03      1.451352e-03     
 2.089296e+00      1.000000e-03      1.534101e-03     
 2.187761e+00      1.000000e-03      1.620715e-03     
 2.290867e+00      1.000000e-03      1.711323e-03     
 2.398832e+00      1.000000e-03      1.806059e-03     
 2.511886e+00      1.000000e-03      1.905066e-03     
 2.630267e+00      1.000000e-03      2.008492e-03     
 2.754228e+00      1.000000e-03      2.116497e-03     
 2.884031e+00      1.000000e-03      2.229246e-03     
 3.019951e+00      1.000000e-03      2.346914e-03     
 3.162277e+00      1.000000e-03      2.469686e-03     
 3.311311e+00      1.000000e-03      2.597753e-03     
 3.467368e+00      1.000000e-03      2.731316e-03     
 3.630780e+00      1.000000e-03      2.870584e-03     
 3.801893e+00      1.000000e-03      3.015774e-03     
 3.981071e+00      1.000000e-03      3.167111e-03     
 4.168693e+00      1.000000e-03      3.324826e-03     
 4.365158e+00      1.000000e-03      3.489156e-03     
 4.570881e+00      1.000000e-03      3.660344e-03     
 4.786300e+00      1.000000e-03      3.838636e-03     
 5.011872e+00      1.000000e-03      4.024282e-03     
 5.248074e+00      1.000000e-03      4.217533e-03     
 5.495408e+00      1.000000e-03      4.418642e-03     
 5.754399e+00      1.000000e-03      4.627857e-03     
 6.025595e+00      1.000000e-03      4.845425e-03     
 6.309573e+00      1.000000e-03      5.071585e-03     
 6.606934e+00      1.000000e-03      5.306569e-03     
 6.918309e+00      1.000000e-03      5.550595e-03     
 7.244359e+00      1.000000e-03      5.803869e-03     
 7.585775e+00      1.000000e-03      6.066577e-03     
 7.943282e+00      1.000000e-03      6.338883e-03     
 8.317637e+00      1.000000e-03      6.620925e-03     
 8.709635e+00      1.000000e-03      6.912810e-03     
 9.120108e+00      1.000000e-03      7.214609e-03     
 9.549925e+00      1.000000e-03      7.526353e-03     
 1.000000e+01      1.000000e-03      7.848027e-03     
 1.047128e+01      1.000000e-03      8.179563e-03     
 1.096478e+01      1.000000e-03      8.520838e-03     
 1.148153e+01      1.000000e-03      8.871666e-03     
