
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p

 0.000000e+00      2.500000e+00      8.731520e-01     -2.582994e-04     
 2.000000e-06      2.500012e+00      8.731490e-01     -2.582996e-04     
 4.000000e-06      2.500025e+00      8.731443e-01     -2.582999e-04     
 6.000000e-06      2.500037e+00      8.731389e-01     -2.583002e-04     
 8.000000e-06      2.500050e+00      8.731332e-01     -2.583006e-04     
 1.000000e-05      2.500062e+00      8.731276e-01     -2.583009e-04     
 1.200000e-05      2.500075e+00      8.731220e-01     -2.583013e-04     
 1.400000e-05      2.500087e+00      8.731163e-01     -2.583016e-04     
 1.600000e-05      2.500100e+00      8.731107e-01     -2.583020e-04     
 1.800000e-05      2.500112e+00      8.731051e-01     -2.583023e-04     
 2.000000e-05      2.500125e+00      8.730995e-01     -2.583027e-04     
 2.200000e-05      2.500137e+00      8.730939e-01     -2.583030e-04     
 2.400000e-05      2.500150e+00      8.730884e-01     -2.583034e-04     
 2.600000e-05      2.500162e+00      8.730828e-01     -2.583037e-04     
 2.800000e-05      2.500175e+00      8.730772e-01     -2.583041e-04     
 3.000000e-05      2.500187e+00      8.730717e-01     -2.583044e-04     
 3.200000e-05      2.500199e+00      8.730662e-01     -2.583048e-04     
 3.400000e-05      2.500212e+00      8.730607e-01     -2.583051e-04     
 3.600000e-05      2.500224e+00      8.730552e-01     -2.583055e-04     
 3.800000e-05      2.500236e+00      8.730497e-01     -2.583058e-04     
 4.000000e-05      2.500248e+00      8.730443e-01     -2.583061e-04     
 4.200000e-05      2.500260e+00      8.730388e-01     -2.583065e-04     
 4.400000e-05      2.500272e+00      8.730334e-01     -2.583068e-04     
 4.600000e-05      2.500285e+00      8.730281e-01     -2.583072e-04     
 4.800000e-05      2.500297e+00      8.730227e-01     -2.583075e-04     
 5.000000e-05      2.500309e+00      8.730173e-01     -2.583078e-04     
 5.200000e-05      2.500320e+00      8.730120e-01     -2.583082e-04     
 5.400000e-05      2.500332e+00      8.730067e-01     -2.583085e-04     
 5.600000e-05      2.500344e+00      8.730015e-01     -2.583088e-04     
 5.800000e-05      2.500356e+00      8.729962e-01     -2.583091e-04     
 6.000000e-05      2.500368e+00      8.729910e-01     -2.583095e-04     
 6.200000e-05      2.500379e+00      8.729858e-01     -2.583098e-04     
 6.400000e-05      2.500391e+00      8.729807e-01     -2.583101e-04     
 6.600000e-05      2.500402e+00      8.729755e-01     -2.583104e-04     
 6.800000e-05      2.500414e+00      8.729704e-01     -2.583108e-04     
 7.000000e-05      2.500425e+00      8.729654e-01     -2.583111e-04     
 7.200000e-05      2.500437e+00      8.729603e-01     -2.583114e-04     
 7.400000e-05      2.500448e+00      8.729553e-01     -2.583117e-04     
 7.600000e-05      2.500459e+00      8.729504e-01     -2.583120e-04     
 7.800000e-05      2.500470e+00      8.729454e-01     -2.583123e-04     
 8.000000e-05      2.500481e+00      8.729405e-01     -2.583126e-04     
 8.200000e-05      2.500492e+00      8.729357e-01     -2.583129e-04     
 8.400000e-05      2.500503e+00      8.729309e-01     -2.583132e-04     
 8.600000e-05      2.500514e+00      8.729261e-01     -2.583135e-04     
 8.800000e-05      2.500525e+00      8.729213e-01     -2.583138e-04     
 9.000000e-05      2.500535e+00      8.729166e-01     -2.583141e-04     
 9.200000e-05      2.500546e+00      8.729119e-01     -2.583144e-04     
 9.400000e-05      2.500556e+00      8.729073e-01     -2.583147e-04     
 9.600000e-05      2.500567e+00      8.729027e-01     -2.583150e-04     
 9.800000e-05      2.500577e+00      8.728981e-01     -2.583153e-04     
 1.000000e-04      2.500587e+00      8.728936e-01     -2.583156e-04     
 1.020000e-04      2.500597e+00      8.728892e-01     -2.583159e-04     
 1.040000e-04      2.500607e+00      8.728847e-01     -2.583161e-04     
 1.060000e-04      2.500617e+00      8.728804e-01     -2.583164e-04     
 1.080000e-04      2.500627e+00      8.728760e-01     -2.583167e-04     
 1.100000e-04      2.500637e+00      8.728717e-01     -2.583169e-04     
 1.120000e-04      2.500647e+00      8.728675e-01     -2.583172e-04     
 1.140000e-04      2.500656e+00      8.728633e-01     -2.583175e-04     
 1.160000e-04      2.500666e+00      8.728592e-01     -2.583177e-04     
 1.180000e-04      2.500675e+00      8.728551e-01     -2.583180e-04     
 1.200000e-04      2.500684e+00      8.728510e-01     -2.583182e-04     
 1.220000e-04      2.500693e+00      8.728470e-01     -2.583185e-04     
 1.240000e-04      2.500702e+00      8.728430e-01     -2.583187e-04     
 1.260000e-04      2.500711e+00      8.728391e-01     -2.583190e-04     
 1.280000e-04      2.500720e+00      8.728353e-01     -2.583192e-04     
 1.300000e-04      2.500728e+00      8.728315e-01     -2.583195e-04     
 1.320000e-04      2.500737e+00      8.728277e-01     -2.583197e-04     
 1.340000e-04      2.500745e+00      8.728240e-01     -2.583199e-04     
 1.360000e-04      2.500754e+00      8.728204e-01     -2.583202e-04     
 1.380000e-04      2.500762e+00      8.728168e-01     -2.583204e-04     
 1.400000e-04      2.500770e+00      8.728133e-01     -2.583206e-04     
 1.420000e-04      2.500778e+00      8.728098e-01     -2.583208e-04     
 1.440000e-04      2.500786e+00      8.728064e-01     -2.583210e-04     
 1.460000e-04      2.500793e+00      8.728030e-01     -2.583212e-04     
 1.480000e-04      2.500801e+00      8.727997e-01     -2.583215e-04     
 1.500000e-04      2.500809e+00      8.727964e-01     -2.583217e-04     
 1.520000e-04      2.500816e+00      8.727932e-01     -2.583219e-04     
 1.540000e-04      2.500823e+00      8.727901e-01     -2.583221e-04     
 1.560000e-04      2.500830e+00      8.727870e-01     -2.583222e-04     
 1.580000e-04      2.500837e+00      8.727840e-01     -2.583224e-04     
 1.600000e-04      2.500844e+00      8.727810e-01     -2.583226e-04     
 1.620000e-04      2.500850e+00      8.727781e-01     -2.583228e-04     
 1.640000e-04      2.500857e+00      8.727753e-01     -2.583230e-04     
 1.660000e-04      2.500863e+00      8.727725e-01     -2.583232e-04     
 1.680000e-04      2.500870e+00      8.727698e-01     -2.583233e-04     
 1.700000e-04      2.500876e+00      8.727671e-01     -2.583235e-04     
 1.720000e-04      2.500882e+00      8.727645e-01     -2.583237e-04     
 1.740000e-04      2.500888e+00      8.727620e-01     -2.583238e-04     
 1.760000e-04      2.500893e+00      8.727595e-01     -2.583240e-04     
 1.780000e-04      2.500899e+00      8.727571e-01     -2.583241e-04     
 1.800000e-04      2.500904e+00      8.727547e-01     -2.583243e-04     
 1.820000e-04      2.500910e+00      8.727525e-01     -2.583244e-04     
 1.840000e-04      2.500915e+00      8.727502e-01     -2.583245e-04     
 1.860000e-04      2.500920e+00      8.727481e-01     -2.583247e-04     
 1.880000e-04      2.500925e+00      8.727460e-01     -2.583248e-04     
 1.900000e-04      2.500929e+00      8.727439e-01     -2.583249e-04     
 1.920000e-04      2.500934e+00      8.727420e-01     -2.583251e-04     
 1.940000e-04      2.500938e+00      8.727401e-01     -2.583252e-04     
 1.960000e-04      2.500942e+00      8.727382e-01     -2.583253e-04     
 1.980000e-04      2.500947e+00      8.727365e-01     -2.583254e-04     
 2.000000e-04      2.500951e+00      8.727348e-01     -2.583255e-04     
 2.020000e-04      2.500954e+00      8.727331e-01     -2.583256e-04     
 2.040000e-04      2.500958e+00      8.727316e-01     -2.583257e-04     
 2.060000e-04      2.500962e+00      8.727301e-01     -2.583258e-04     
 2.080000e-04      2.500965e+00      8.727286e-01     -2.583259e-04     
 2.100000e-04      2.500968e+00      8.727273e-01     -2.583260e-04     
 2.120000e-04      2.500971e+00      8.727260e-01     -2.583261e-04     
 2.140000e-04      2.500974e+00      8.727247e-01     -2.583261e-04     
 2.160000e-04      2.500977e+00      8.727236e-01     -2.583262e-04     
 2.180000e-04      2.500979e+00      8.727225e-01     -2.583263e-04     
 2.200000e-04      2.500982e+00      8.727214e-01     -2.583263e-04     
 2.220000e-04      2.500984e+00      8.727205e-01     -2.583264e-04     
 2.240000e-04      2.500986e+00      8.727196e-01     -2.583265e-04     
 2.260000e-04      2.500988e+00      8.727188e-01     -2.583265e-04     
 2.280000e-04      2.500990e+00      8.727180e-01     -2.583266e-04     
 2.300000e-04      2.500992e+00      8.727173e-01     -2.583266e-04     
